نام محصول,لینک محصول,دسته محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی,مشکلات,مشکل‌دار,شدت مشکل,قصد ترک,نشانه‌های ترک
کرم ترک پا خنک کننده و آرامش بخش,https://www.khanoumi.com/products/comeon-foot-cream-25110,کرم و مرطوب‌کننده صورت,"این کرم برای ترک پا عالیه 
کاملا کف پا را نرم میکند و ترک ها را از بین میبرد
اولین بار خریدم ولی رفت توی سبد خرید محصولات همیشگی 
",0,true,2024-02-11T09:51:10+00:00,مثبت,0.79,رضایت کلی | تجربه محصول | سایت و اپلیکیشن,سایت و اپلیکیشن,,false,ندارد,false,
کرم ترک پا خنک کننده و آرامش بخش,https://www.khanoumi.com/products/comeon-foot-cream-25110,کرم و مرطوب‌کننده صورت,کرم خیلی خوبیه. من تو تخفیف خریدمش وازش  راضیم.,0,true,2024-02-09T12:58:45+00:00,مثبت,0.91,تخفیف | تجربه محصول | رضایت کلی,تخفیف,,false,ندارد,false,
کرم ترک پا خنک کننده و آرامش بخش,https://www.khanoumi.com/products/comeon-foot-cream-25110,کرم و مرطوب‌کننده صورت,خیلی عالیه من بغیر از پا، حتی به زانو و ارنج هم سه چهار بار زدم اینقد پوستم نرم شد که حد نداره ,0,true,2024-02-03T21:29:49+00:00,مثبت,0.79,رضایت کلی,رضایت کلی,,false,ندارد,false,
کرم ترک پا خنک کننده و آرامش بخش,https://www.khanoumi.com/products/comeon-foot-cream-25110,کرم و مرطوب‌کننده صورت,من تو تخفیف خانمی خریدم که به نسبت حجمی که داره می ارزید اثرش فوری نیست ولی حدود دوهفته که استفاده کردم  خوب بود,0,true,2023-12-28T10:42:05+00:00,مثبت,0.79,تخفیف | تجربه محصول,تخفیف,,false,ندارد,false,
کرم ترک پا خنک کننده و آرامش بخش,https://www.khanoumi.com/products/comeon-foot-cream-25110,کرم و مرطوب‌کننده صورت,تنها کرم پایی هست ک من ازش نتیجه گرفتم،حتی با دوبار استفاده کاملا متوجه نتیجه میشید،عالیه,0,true,2023-12-28T10:29:26+00:00,مثبت,0.79,اثربخشی | رضایت کلی | تجربه محصول,اثربخشی,,false,ندارد,false,
کرم ترک پا خنک کننده و آرامش بخش,https://www.khanoumi.com/products/comeon-foot-cream-25110,کرم و مرطوب‌کننده صورت,کرم خیلی خوبیه واسه پا من ازش چند دوره استفاده کردم . ,0,true,2023-11-27T09:57:25+00:00,مثبت,0.67,تجربه محصول | رضایت کلی,تجربه محصول,,false,ندارد,false,
کرم ترک پا خنک کننده و آرامش بخش,https://www.khanoumi.com/products/comeon-foot-cream-25110,کرم و مرطوب‌کننده صورت,بسیار عالی برای ترک های پا بود،تاثیر فوق العاده ,0,true,2023-08-10T16:45:49+00:00,مثبت,0.79,اثربخشی | رضایت کلی,اثربخشی,,false,ندارد,false,
کرم ترک پا خنک کننده و آرامش بخش,https://www.khanoumi.com/products/comeon-foot-cream-25110,کرم و مرطوب‌کننده صورت,"واقعا تو بهبود ترک پا موثره
با اینکه فقط یه هفتس که دارم استفاده میکنم ولی نتیجشو دیدم",0,true,2023-06-06T13:52:31+00:00,خنثی,0.35,تجربه محصول,تجربه محصول,,false,ندارد,false,
کاپ قاعدگی سایز 1,https://www.khanoumi.com/products/lunette-size-1-menstrual-cup-25155,سایر محصولات,"Man in mahsol az khanomi kharidam 
Vaghean razi bodam♥️",0,true,2023-04-06T05:21:14+00:00,خنثی,0.35,تجربه محصول,تجربه محصول,,false,ندارد,false,
کاپ قاعدگی سایز 1,https://www.khanoumi.com/products/lunette-size-1-menstrual-cup-25155,سایر محصولات,من‌۱۰ ماهه استفاده میکنم. خیلی خیلی راضیم ولی کلا توصیه میکنم اگه خونریزی زیاد دارید سایز ۲ رو انتخاب کنید. من سایز ۱ رو انتخاب کردم و کمی بعضی روزها لباس زیر کثیف میشه سایز ۲ بنظرم انتخاب بهتریه,21,true,2020-05-13T23:41:50+00:00,مثبت,0.91,پیشنهاد به دیگران | تجربه محصول | رضایت کلی | نیاز به مشاوره,نیاز به مشاوره,,false,ندارد,false,
کاپ قاعدگی سایز 1,https://www.khanoumi.com/products/lunette-size-1-menstrual-cup-25155,سایر محصولات,من کاپ رو در تخفیف خریدم.یکی از بهترین خریدهایی که در تمام عمرم کردم.به همه ی بانو های عزیز،توصیه میکنم با بدنتون آشتی کنید و خودتون دوست داشته باشید.🥰🍃🍃🍃  ,19,true,2020-04-15T23:38:39+00:00,مثبت,0.79,تخفیف | پیشنهاد به دیگران | تجربه محصول | رضایت کلی,تخفیف,,false,ندارد,false,
کاپ قاعدگی سایز 1,https://www.khanoumi.com/products/lunette-size-1-menstrual-cup-25155,سایر محصولات,توی تخفیف بلک فرایدی خریدمش و مطمعنم که بهترین خرید عمرم همین کاپ کوچولوی زرد خوشگل بوده... عاااااشقشم... بهترینه و به هر کی میرسم میگم تو رو خدا خودتو دوس داشته باش و برای خودت بخرش... الانم سومین دوره ست که ازش استفاده میکنم و خیلی خوشحالم که از شر پد و نوار راحت شدم، از طرفی ناراحتم چرا زودتر باهاش اشنا نشدم... مرسی از خانومی که برای ما خانوم ها موجودش کردین با تخفیف عالی... ببخشید که عکس خالی جعبه رو میذارم چون الان در حال استفاده ازش هستم...۱۰۰۰ تا ستاره هم بدم کمشه,23,true,2020-02-21T01:48:20+00:00,مثبت,0.91,تخفیف | تجربه محصول | رضایت کلی | موجودی کالا | بسته‌بندی,موجودی کالا,,false,ندارد,false,
کاپ قاعدگی سایز 1,https://www.khanoumi.com/products/lunette-size-1-menstrual-cup-25155,سایر محصولات,عالی بود 💜,9,true,2020-02-10T01:59:20+00:00,مثبت,0.79,رضایت کلی,رضایت کلی,,false,ندارد,false,
کاپ قاعدگی سایز 1,https://www.khanoumi.com/products/lunette-size-1-menstrual-cup-25155,سایر محصولات,فقط میتونم بگم فوق العاده بود,18,true,2019-11-06T00:11:16+00:00,مثبت,0.67,رضایت کلی,رضایت کلی,,false,ندارد,false,
کاپ قاعدگی سایز 2,https://www.khanoumi.com/products/lunette-size-2-menstrual-cup-25156,سایر محصولات,من اولین ماه بود که از کاپ لونت استفاده کردم،هر چند دو سه روز طول کشید تا به روش جایگذاریش عادت کنم؛ ولی با این حال خیلی خوبه. فک میکنم بهترین چیزی هست که هر خانومی می تونه برای خودش تهیه کنه. تمیز، بهداشتی، دوستدار محیط زیست، و خیلی راحته,1,true,2022-12-19T00:39:09+00:00,مثبت,0.91,رضایت کلی | تجربه محصول,تجربه محصول,,false,ندارد,false,
