نام محصول,لینک محصول,دسته محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی,مشکلات,مشکل‌دار,شدت مشکل,قصد ترک,نشانه‌های ترک
شامپو ضدشوره مناسب انواع مو حجم 200 گرم,https://www.khanoumi.com/products/irox-anti-dandruff-shampoo-25437,شامپو و شستشوی مو,9 ساله از این شامپو استفاده میکنم راضیم ,0,true,2024-06-08T23:35:10+00:00,مثبت,0.79,تجربه محصول | رضایت کلی,تجربه محصول,,false,ندارد,false,
شامپو ضدشوره مناسب انواع مو حجم 200 گرم,https://www.khanoumi.com/products/irox-anti-dandruff-shampoo-25437,شامپو و شستشوی مو,تو دو سه بار استفاده ازش جواب میگیرین بوی خوبی هم داره ,0,true,2024-03-14T19:38:00+00:00,خنثی,0.35,بو و رایحه,بو و رایحه,,false,ندارد,false,
شامپو ضدشوره مناسب انواع مو حجم 200 گرم,https://www.khanoumi.com/products/irox-anti-dandruff-shampoo-25437,شامپو و شستشوی مو,"این محصول رو چندساله دارم استفاده میکنم و راضی هستم 
",0,true,2024-02-05T13:19:47+00:00,مثبت,0.67,تجربه محصول,تجربه محصول,,false,ندارد,false,
شامپو ضدشوره مناسب انواع مو حجم 200 گرم,https://www.khanoumi.com/products/irox-anti-dandruff-shampoo-25437,شامپو و شستشوی مو,چندساله که من از این محصول استفاده میکنم و رو موهای من و جنس موهای من کاملا موثره و خیلی خوشبوئه,0,true,2023-06-08T13:12:37+00:00,خنثی,0.35,تجربه محصول | بو و رایحه,بو و رایحه,,false,ندارد,false,
شامپو پرو-ویتا اف,https://www.khanoumi.com/products/irox-provita-f-shampoo-25440,شامپو و شستشوی مو,عالی,0,true,2026-06-02T16:10:04.7815277+03:30,مثبت,0.67,رضایت کلی,رضایت کلی,,false,ندارد,false,
شامپو پرو-ویتا اف,https://www.khanoumi.com/products/irox-provita-f-shampoo-25440,شامپو و شستشوی مو,یکبار خربدم و راضی بودم و دوباره سفارش دادم . به موها یه لطافت خاصی میده و باعث کم شدن ریزش مو هم تا حدودی میشه.,0,true,2025-05-23T21:46:02.7024634+00:00,مثبت,0.67,تجربه محصول,تجربه محصول,,false,ندارد,false,
شامپو آرگان پلاس,https://www.khanoumi.com/products/irox-argan-plus-multi-functinal-shampoo-25441,شامپو و شستشوی مو,برای شوره های خشک و خارش کف سر عالیه,0,true,2025-03-01T09:43:53.0137391+00:00,مثبت,0.79,رضایت کلی | حساسیت و واکنش پوست/مو,حساسیت و واکنش پوست/مو,حساسیت و واکنش پوست/مو,true,بالا,false,
شامپو بیوتین پلاس,https://www.khanoumi.com/products/irox-biotin-plus-thickening-shampoo-25442,شامپو و شستشوی مو,"موهای من فر و تقریبا خشکه
اصلا اثری نداشت",0,true,2024-09-29T09:45:20+00:00,خنثی,0.35,تجربه محصول,تجربه محصول,,false,ندارد,false,
شامپو بیوتین پلاس,https://www.khanoumi.com/products/irox-biotin-plus-thickening-shampoo-25442,شامپو و شستشوی مو,به نسبت حجم گرون ه. البته کیفیت خوبی داره . لطفا ماسک مو های این برند رو هم بیارید با قیمت مناسب,0,true,2023-11-30T10:53:44+00:00,مثبت,0.67,قیمت | کیفیت محصول | حجم و مقدار | موجودی کالا,موجودی کالا,قیمت,true,پایین,false,
شامپو کافئین پلاس,https://www.khanoumi.com/products/irox-caffein-plus-stimulant-shampoo-25443,شامپو و شستشوی مو,تازه خریدم به نظرم خوبه,0,true,2026-08-26T15:20:34.4320783+03:30,مثبت,0.67,تجربه محصول,تجربه محصول,,false,ندارد,false,
