نام محصول,لینک محصول,دسته محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی,مشکلات,مشکل‌دار,شدت مشکل,قصد ترک,نشانه‌های ترک
بادی اسپلش اندلس فانتزی 220میل,https://www.khanoumi.com/products/my-endless-fantasy-body-splash-26295,سایر محصولات,قبلا بوش خوب بود الان فک کنم شرکت مای سری جدید داره میزنه هم خییییلی بو الکل میده هم انگار ک بوی عطرش عوض شده یا کمتر شده.,0,true,2024-07-28T02:32:24+00:00,مثبت,0.79,بو و رایحه,بو و رایحه,,false,ندارد,false,
بادی اسپلش اندلس فانتزی 220میل,https://www.khanoumi.com/products/my-endless-fantasy-body-splash-26295,سایر محصولات,"شدیدا خوشبو، ملایم سرد و کمی شیرین
با اینکه تو انتخاب رایحه سختپسندم این بادی عالیه
کلا بادی های مای باکیفیتن",0,true,2024-07-23T15:35:32+00:00,مثبت,0.79,بو و رایحه | رضایت کلی | کیفیت محصول,کیفیت محصول,,false,ندارد,false,
بادی اسپلش اندلس فانتزی 220میل,https://www.khanoumi.com/products/my-endless-fantasy-body-splash-26295,سایر محصولات,بوش واقعا عالیه . طوریکه بعد از موجود شدنش برای خواهرم هم میخوام سفارشش بدم ،، موندگاری و پخش بوش عالیه ، بنظرم این بادی اسپلش از بقیه بادی اسپلش های مای بهتره . حجم شم عالیه . درکل در خریدش شک نکنید . ممنون از خانومی.,0,true,2024-07-23T12:34:01+00:00,مثبت,0.95,رضایت کلی | بو و رایحه | حجم و مقدار | موجودی کالا,موجودی کالا,,false,ندارد,false,
بادی اسپلش اندلس فانتزی 220میل,https://www.khanoumi.com/products/my-endless-fantasy-body-splash-26295,سایر محصولات,"تو خریدش شک نکنید خانوما بوی خیلییییییییییییییییییییییی خوبی داره
من خیلی روی بو حساسم و این پای ثابت سبدخریدمه",0,true,2024-07-21T17:22:32+00:00,مثبت,0.67,بو و رایحه | تجربه محصول | رضایت کلی,بو و رایحه,,false,ندارد,false,
بادی اسپلش اندلس فانتزی 220میل,https://www.khanoumi.com/products/my-endless-fantasy-body-splash-26295,سایر محصولات,بوشو دوست نداشتم ولی ماندگاریش خوبه,0,true,2024-07-18T20:44:19+00:00,مثبت,0.67,ماندگاری,ماندگاری,,false,ندارد,false,
بادی اسپلش اندلس فانتزی 220میل,https://www.khanoumi.com/products/my-endless-fantasy-body-splash-26295,سایر محصولات,خیلی خوشبوعه و اصلا باعث سردرد نمیشه اما شاید اولش بخوره تو ذوقتون چون بوی الکل میده اما بهش فرصت بدین واقعا خوش بو میشه,0,true,2024-07-16T17:02:57+00:00,خنثی,0.35,بو و رایحه,بو و رایحه,,false,ندارد,false,
بادی اسپلش اندلس فانتزی 220میل,https://www.khanoumi.com/products/my-endless-fantasy-body-splash-26295,سایر محصولات,بوی خیلیی خوبی داره، شاین خیلی خوشکلی روی پوست میندازه ولی ماندگاریش متوسطه،،،در کل به نسبت بقیه بادی اسپلش ها ماندگاری کمتری داره و پخش بوی کمی داره اما بوی خیلی مطبوعی داشت,0,true,2024-07-14T00:29:21+00:00,خنثی,0.35,ماندگاری | بو و رایحه | تجربه محصول,بو و رایحه,,false,ندارد,false,
بادی اسپلش اندلس فانتزی 220میل,https://www.khanoumi.com/products/my-endless-fantasy-body-splash-26295,سایر محصولات,بوی خوبی داره,0,true,2024-07-11T12:58:11+00:00,خنثی,0.35,بو و رایحه,بو و رایحه,,false,ندارد,false,
بادی اسپلش اندلس فانتزی 220میل,https://www.khanoumi.com/products/my-endless-fantasy-body-splash-26295,سایر محصولات,بوش خیلی خوبهههه ، ماندگاریشم خوبه، ی شاین خیلی خوشکلی هم داره روی بدن و لباس,0,true,2024-07-05T13:41:15+00:00,مثبت,0.91,ماندگاری | رضایت کلی | بو و رایحه,بو و رایحه,,false,ندارد,false,
بادی اسپلش اندلس فانتزی 220میل,https://www.khanoumi.com/products/my-endless-fantasy-body-splash-26295,سایر محصولات,بوش خیلی خوب بود ,0,true,2024-06-25T18:48:25+00:00,مثبت,0.91,بو و رایحه | رضایت کلی,بو و رایحه,,false,ندارد,false,
