نام محصول,لینک محصول,دسته محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی,مشکلات,مشکل‌دار,شدت مشکل,قصد ترک,نشانه‌های ترک
ریمل پوش آپ آنجل,https://www.khanoumi.com/products/maybelline-push-up-angel-mascara-19340,ریمل,من ازش خیلی راضی هستم هم بلند میکنه هم یه کم حجم میده و گره نمیخوره البته من مژه هام بلنده ,9,true,2019-02-27T20:01:46.9866667+00:00,مثبت,0.67,حجم و مقدار,حجم و مقدار,,false,ندارد,false,
ریمل پوش آپ آنجل,https://www.khanoumi.com/products/maybelline-push-up-angel-mascara-19340,ریمل,اصلا حجم دهنده نیست. بدتر احساس میکنم کم پشت نشون میده مژه هامو. فقط بلند میکنه. و خوب حالت میده. نیازی به فرموژه نداره. ,10,true,2018-09-29T22:30:00.0666667+00:00,مثبت,0.67,حجم و مقدار,حجم و مقدار,,false,ندارد,false,
دستگاه فیس براش شارژی مدل  پرفکت سونیک اف 800,https://www.khanoumi.com/products/cute-skin-face-brush-19347,ابزار آرایشی,من این دستگاه رو تو تخفیف عید فطر خریداری کردم برای من سه تا براش فرستادین با دو تا درپوش، براش بدن درپوش نذاشتین به همین دلیل من نمیتونم به دستگاه وصلش کنم و اون دو تا درپوش هم کوچیکه برای این که بذارم روی براش بدن. درپوش براش بدن رو برام میفرستین؟ چون این طوری نمیتونم ازش استفاده کنم چون دسترسی به تلگرام ندارم مجبور شدم اینجا پیام بدم تشکر از فروشگاه شما ,0,true,2018-06-29T02:28:57.2966667+00:00,خنثی,0.35,تخفیف,تخفیف,,false,ندارد,false,
دستگاه فیس براش شارژی ادونس سونیک اف 802,https://www.khanoumi.com/products/cute-skin-face-brush-19348,ابزار آرایشی,من یک ساله از این فیس براش استفاده میکنم واقعا عالیه پوستم شفاف تر شده و کمتر چرب میشه و جوش نمیزنه,0,true,2019-10-05T22:03:37+00:00,مثبت,0.79,رضایت کلی | تجربه محصول | حساسیت و واکنش پوست/مو,حساسیت و واکنش پوست/مو,,false,ندارد,false,
دستگاه فیس براش شارژی ادونس سونیک اف 802,https://www.khanoumi.com/products/cute-skin-face-brush-19348,ابزار آرایشی,سلام من این کالا امروز ۷اسفند به دستم رسید اماتاریخ گارنتی اون فقط تا ۲۸اسفند ۹۷ هست لطفا راهنمایی کنید,7,true,2019-02-26T15:40:01.66+00:00,خنثی,0.35,نیاز به مشاوره | ارسال کالا,ارسال کالا,,false,ندارد,false,
دستگاه فیس براش شارژی سونیک مدل  اف 901,https://www.khanoumi.com/products/cute-skin-face-brush-19349,ابزار آرایشی,"دو هفته ست که این دستگاه و از سایت خانومی خریدم...خیلی از خریدم راضی ام، پوستم خشک هست و پوست پوسته میشه و همیشه به خاطر همین پوست پوسته شدن موقع ارایش کردن اذیت میشدم چون بیشتر به چشم میومد...ولی تو این مدت از این دستگاه استفاده کردم همراه با میسلار مرطوب 3 در 1 بلیندا واقعا راحت شدم...
مرسی خانومی❤",8,true,2018-03-08T13:28:24.6333333+00:00,مثبت,0.91,تجربه محصول | رضایت کلی | حساسیت و واکنش پوست/مو | سایت و اپلیکیشن,حساسیت و واکنش پوست/مو,,false,ندارد,false,
دستگاه  فیس براش شارژی سونیک مدل اف 900,https://www.khanoumi.com/products/cute-skin-face-brush-19350,ابزار آرایشی,من این فیس براش رو حدود یکسال پیش در تخفیف black friday خانومی عزیز خریدم و بسیار راضی هستم ، پوستم بسیار تمیزتر شده و خیلی کمتر جوش میزنم . ,1,true,2019-09-30T10:28:57+00:00,مثبت,0.67,تخفیف | حساسیت و واکنش پوست/مو | تجربه محصول,حساسیت و واکنش پوست/مو,,false,ندارد,false,
دستگاه فیس براش باطری دار پریتی سونیک801,https://www.khanoumi.com/products/cute-skin-face-brush-19351,ابزار آرایشی,"اگه می خواین پوستتونو خیلی تمیز و عمیق بشورید پیشنهادش می کنم.
قبل از اینکه شویندتونو روش بریزید براششو خیس کنید صورتتونم خیس کنید تا خوب کف کنه.",2,true,2020-08-09T21:07:43+00:00,مثبت,0.67,رضایت کلی,رضایت کلی,,false,ندارد,false,
دستگاه فیس براش باطری دار پریتی سونیک801,https://www.khanoumi.com/products/cute-skin-face-brush-19351,ابزار آرایشی,من یک ساله که این فیس براش رو دارم. مصرف باتری ش خیلی کمه. شستشوی عالی داره و لایه های خشک رو پاک میکنه. واقعا راضی هستم ,7,true,2020-02-24T08:24:55+00:00,مثبت,0.79,رضایت کلی,رضایت کلی,,false,ندارد,false,
دستگاه فیس براش باطری دار پریتی سونیک801,https://www.khanoumi.com/products/cute-skin-face-brush-19351,ابزار آرایشی,در یک کلام عااالی,3,true,2020-01-01T23:27:08+00:00,مثبت,0.67,رضایت کلی,رضایت کلی,,false,ندارد,false,
دستگاه فیس براش باطری دار پریتی سونیک801,https://www.khanoumi.com/products/cute-skin-face-brush-19351,ابزار آرایشی,"در قسمت باتری محصولی که برای من ارسال شده اصلا باز نمیشه 
به شدت سفت هست طوری که هنوز نتونستم ازش استفاده کنم",10,true,2019-03-02T23:06:20.6066667+00:00,خنثی,0.35,ارسال کالا | بافت محصول | تجربه محصول,ارسال کالا,,false,ندارد,false,
دستگاه فیس براش باطری دار پریتی سونیک801,https://www.khanoumi.com/products/cute-skin-face-brush-19351,ابزار آرایشی,گد تخفیف ۸۰۱ چیه من نمیتونم بدون تخیف بخرم؟؟؟؟,4,true,2019-02-25T11:27:54.3433333+00:00,خنثی,0.35,تخفیف,تخفیف,,false,ندارد,false,
دستگاه فیس براش باطری دار پریتی سونیک801,https://www.khanoumi.com/products/cute-skin-face-brush-19351,ابزار آرایشی,من دیدم صورتیش تو تخفیف بود وقتی ثبت کردم دیگه ندیدمش هواسمم  نبود که مبلغو ببینم زدم تخفیف نخوردش ,1,true,2019-02-24T18:32:05.4066667+00:00,خنثی,0.35,تخفیف,تخفیف,,false,ندارد,false,
دستگاه فیس براش باطری دار پریتی سونیک801,https://www.khanoumi.com/products/cute-skin-face-brush-19351,ابزار آرایشی,سلام من یک کد تخفیف دارم چطور میتونم ازش استفاده کنم؟,4,true,2019-02-23T16:56:26.43+00:00,خنثی,0.35,تخفیف,تخفیف,,false,ندارد,false,
دستگاه فیس براش باطری دار پریتی سونیک801,https://www.khanoumi.com/products/cute-skin-face-brush-19351,ابزار آرایشی,سلام خسته نباشین چرا دیشب ک من سفارش دادم ارسال رایگان نبود😕,2,true,2019-02-20T04:37:25.39+00:00,خنثی,0.35,ارسال کالا | تجربه محصول,ارسال کالا,,false,ندارد,false,
دستگاه فیس براش باطری دار پریتی سونیک801,https://www.khanoumi.com/products/cute-skin-face-brush-19351,ابزار آرایشی,ممنون از پیگیری سایت خانومی..الان براش کیوت اسکین من که داخل جعبه نبود جداگانه ارسال و با پیگیری همکاران به دستم رسید..ظاهرا مشکل از بسته بندی خود کیوت اسکین بوده و خانومی دخل و تصرفی نداشته..ممنون,15,true,2018-06-20T11:14:53.9666667+00:00,خنثی,0.35,بسته‌بندی | ارسال کالا | پشتیبانی و خدمات | سایت و اپلیکیشن | رضایت کلی,ارسال کالا,,false,ندارد,false,
دستگاه فیس براش باطری دار پریتی سونیک801,https://www.khanoumi.com/products/cute-skin-face-brush-19351,ابزار آرایشی,سفارش من الان به دستم رسید ، به جای 2 براش 1 براش داخلش بیود. این چه وضعیه؟؟؟  برای چی بستهای که پلمپ نیست ارسال کردین برای من؟؟؟ تلفن هم که همش اشغاله.. نتیجه اعتماد ما اینه؟؟؟,65,true,2018-06-17T10:16:39.96+00:00,خنثی,0.35,ارسال کالا | اثربخشی | اصالت کالا,اصالت کالا,,false,ندارد,false,
دستگاه فیس  براش  چرخشی تاچ بیوتی مدل اف 700,https://www.khanoumi.com/products/cute-skin-face-brush-19352,ابزار آرایشی,سلام کدوم یکی از سری های یدک کیوت اسکین به این دستگاه متصل میشن؟,1,true,2019-09-09T08:31:53+00:00,خنثی,0.35,تجربه محصول,تجربه محصول,,false,ندارد,false,
پاک کننده آرایش دو فاز آووکادو,https://www.khanoumi.com/products/bielenda-2-phase-avocado-make-up-remover-19365,سایر محصولات,پاك كننده ملايم و خوبيه و الودگي رو پاك ميكنه,0,true,2019-10-08T08:45:23+00:00,خنثی,0.35,رضایت کلی,رضایت کلی,,false,ندارد,false,
پاک کننده آرایش دو فاز آووکادو,https://www.khanoumi.com/products/bielenda-2-phase-avocado-make-up-remover-19365,سایر محصولات,پاك كننده خوبي براي پوست و ارايش چشمها هست,0,true,2019-10-08T08:33:49+00:00,خنثی,0.35,رضایت کلی,رضایت کلی,,false,ندارد,false,
پاک کننده آرایش دو فاز آووکادو,https://www.khanoumi.com/products/bielenda-2-phase-avocado-make-up-remover-19365,سایر محصولات,من که خیلی راضیم آرایش چشمم خیلی خوب پاک میکنه,6,true,2018-03-14T11:03:10.3266667+00:00,مثبت,0.95,رضایت کلی,رضایت کلی,,false,ندارد,false,
پاک کننده آرایش دو فاز عصاره پنبه,https://www.khanoumi.com/products/bielenda-2-phase-cotton-make-up-remover-19366,سایر محصولات,"خیلی کم چربه و بعد از اینکه ارایش چشم رو پاک میکنی حتما باید بشوری .ولی هر آرایشی هر چقد سنگین و ضدآب رو به راحتی پاک میکنه  و واسه چشم من که حساسه مث معجزس.
من اثر تقویت کنندگیش رو واقعا به چشم دیدم ",11,true,2018-09-18T13:53:51.7833333+00:00,خنثی,0.35,تجربه محصول,تجربه محصول,,false,ندارد,false,
روغن پاک کننده صورت آرگان و رتینول,https://www.khanoumi.com/products/bielenda-argan-oil-face-washing-19369,ژل و فوم شستشو,کیفیت این محصول عالیه من سه سال استفاده میکنم و اولین محصولیه که صورتمو خشک نمیکنه پوستم بسیار لطیف میشه و جوشهای زیرپوستی هم کم میشن,1,true,2019-06-11T09:39:40.0366667+00:00,مثبت,0.79,تجربه محصول | رضایت کلی | کیفیت محصول,کیفیت محصول,,false,ندارد,false,
روغن پاک کننده صورت آرگان و رتینول,https://www.khanoumi.com/products/bielenda-argan-oil-face-washing-19369,ژل و فوم شستشو,شانس لطفا,8,true,2018-04-23T16:49:29.04+00:00,خنثی,0.35,سایر,سایر,,false,ندارد,false,
روغن پاک کننده  آرگان,https://www.khanoumi.com/products/bielenda-argan-oil-face-washing-19370,سایر محصولات,هر چقدر بگم عالی کم گفتم من که عاشقشم هم جای جوش رو کمرنگ میکنه هم آرایش رو کامل پاک میکنه و هم پوست رو خشک نمیکنه لطفا دوباره موجود کنید مال من داره تمام میشه🙏🌹❤️,1,true,2019-10-03T01:54:53+00:00,مثبت,0.79,موجودی کالا | رضایت کلی | حساسیت و واکنش پوست/مو,حساسیت و واکنش پوست/مو,,false,ندارد,false,
روغن پاک کننده  آرگان,https://www.khanoumi.com/products/bielenda-argan-oil-face-washing-19370,سایر محصولات,لطفا موجود کنید,6,true,2018-12-23T07:34:39.8666667+00:00,خنثی,0.35,موجودی کالا,موجودی کالا,,false,ندارد,false,
سرم روز و شب رتینول,https://www.khanoumi.com/products/bielenda-retinol-face-serum-19371,سرم پوست,من خیلی راضیم حس خیلی خوبی به پوستم میده و سرحال و شاداب به نظر میاد,12,true,2018-07-23T11:21:36.2833333+00:00,مثبت,0.91,رضایت کلی,رضایت کلی,,false,ندارد,false,
روغن مرطوب کننده و نرم کننده صورت گل رز,https://www.khanoumi.com/products/bielenda-rose-serum-19377,نرم‌کننده و ماسک مو,این محصول و کرم روز و شبش محدودیت سنی دارن؟,2,true,2018-08-24T00:55:12.7833333+00:00,خنثی,0.35,تجربه محصول,تجربه محصول,,false,ندارد,false,
محلول میسلار رطوبت رسان,https://www.khanoumi.com/products/bielenda-moisturizing-micellar-water-19378,ژل و فوم شستشو,معمولیه,0,true,2019-10-05T16:45:19+00:00,خنثی,0.35,نارضایتی کلی,نارضایتی کلی,,false,ندارد,false,
محلول میسلار رطوبت رسان,https://www.khanoumi.com/products/bielenda-moisturizing-micellar-water-19378,ژل و فوم شستشو,من این محصول رو برای بار دوم سفارش میدم چشم رو نمی سوزنه و آرایش ضد آب رو هم خوب پاک میکنه با اینکه پوست و چشم من حساسه با این محصول جوش نزدم و هیچ مشکلی نداشتم سایزشم که بزرگه قشنگ ده یا یازده ماه میشه استفاده کرد,0,true,2019-09-04T10:19:30.9866667+00:00,مثبت,0.67,تجربه محصول | حساسیت و واکنش پوست/مو,حساسیت و واکنش پوست/مو,,false,ندارد,false,
ژل شستشو و اسکراب لیمو و خیار,https://www.khanoumi.com/products/bielenda-cucumber-and-lime-scrub-19380,ژل و فوم شستشو,محصول بسایر خوبی هست. من پوست خیلی چربی دارم و واقعا پوستم رو مات میکنه,3,true,2020-01-16T17:16:31+00:00,خنثی,0.35,تجربه محصول,تجربه محصول,,false,ندارد,false,
ژل شستشو و اسکراب لیمو و خیار,https://www.khanoumi.com/products/bielenda-cucumber-and-lime-scrub-19380,ژل و فوم شستشو,من از اين محصول استفاده كردم خيلى خوب و عمقى پوست رو تميز ميكنه,16,true,2018-09-15T11:51:38.7833333+00:00,مثبت,0.67,تجربه محصول,تجربه محصول,,false,ندارد,false,
بالم لب با رایحه تمشک,https://www.khanoumi.com/products/bielenda-lip-balm-19381,رژ لب,قيمتش بالاس به نظرم ولي فقط وقتي شب تا صبح ميزني خوبه ,0,true,2019-08-11T15:11:38.1566667+00:00,مثبت,0.67,رضایت کلی,رضایت کلی,,false,ندارد,false,
بالم لب با رایحه تمشک,https://www.khanoumi.com/products/bielenda-lip-balm-19381,رژ لب,بوش عالیه و به نظرم خیلی لب رو نرم میکنه من که ازش راضی بودم نسبت به قیمت,1,true,2019-06-04T01:54:34.1466667+00:00,مثبت,0.91,رضایت کلی | قیمت | بو و رایحه,قیمت,,false,ندارد,false,
