نام محصول,لینک محصول,دسته محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی,مشکلات,مشکل‌دار,شدت مشکل,قصد ترک,نشانه‌های ترک
کرم ضد آفتاب و ضد لک بی رنگ مدل SPF50 مناسب پوست چرب و آکنه دار حجم 40 میلی لیتر,https://www.khanoumi.com/products/lafarrerr-anti-spot-spf50-sunscreen-cream-for-oily-and-acne-prone-skin-25318,ضدآفتاب,روی پوست جذب نمیشه و پیل میشه,0,true,2024-07-22T11:10:33+00:00,خنثی,0.35,تجربه محصول,تجربه محصول,,false,ندارد,false,
کرم ضد آفتاب و ضد لک بی رنگ مدل SPF50 مناسب پوست چرب و آکنه دار حجم 40 میلی لیتر,https://www.khanoumi.com/products/lafarrerr-anti-spot-spf50-sunscreen-cream-for-oily-and-acne-prone-skin-25318,ضدآفتاب,"یه بوی عجیب و بدی میده البته وقتی روی صورت پخشش میکنی دیگه حس نمیشه ولی در کل بد نیست.
با این وجود دوباره شارژش نمیکنم فکر میکردم سبکتر باشه",0,true,2024-07-21T15:52:50+00:00,مثبت,0.67,بو و رایحه,بو و رایحه,,false,ندارد,false,
کرم ضد آفتاب و ضد لک بی رنگ مدل SPF50 مناسب پوست چرب و آکنه دار حجم 40 میلی لیتر,https://www.khanoumi.com/products/lafarrerr-anti-spot-spf50-sunscreen-cream-for-oily-and-acne-prone-skin-25318,ضدآفتاب,خیلیییییی ضد آفتاب خوبیه پوست من چربه ولی اینو استفاده میکنم اصلا پوستم چرب نمیشه و برق نمیزنه فوق العاده سبکه اصلا متوجه نمیشی چیزی روی پوستته به شدت پیشنهاد میکنم,0,true,2024-07-18T13:13:50+00:00,خنثی,0.35,پیشنهاد به دیگران | تجربه محصول | رضایت کلی | ترکیبات,ترکیبات,,false,ندارد,false,
کرم ضد آفتاب و ضد لک بی رنگ مدل SPF50 مناسب پوست چرب و آکنه دار حجم 40 میلی لیتر,https://www.khanoumi.com/products/lafarrerr-anti-spot-spf50-sunscreen-cream-for-oily-and-acne-prone-skin-25318,ضدآفتاب,من پوستم مختلطه هر ضد آفتابی که میزدم جوش میزد پوستم اما این ضد آفتاب بهم ساخت امیدوارم که اصل باشه,0,true,2024-07-14T12:01:16+00:00,خنثی,0.35,ترکیبات | حساسیت و واکنش پوست/مو | اصالت کالا,اصالت کالا,,false,ندارد,false,
کرم ضد آفتاب و ضد لک بی رنگ مدل SPF50 مناسب پوست چرب و آکنه دار حجم 40 میلی لیتر,https://www.khanoumi.com/products/lafarrerr-anti-spot-spf50-sunscreen-cream-for-oily-and-acne-prone-skin-25318,ضدآفتاب,"پوست من چرب و جوشداره
باعث بیشتر شدن جوش هام شد
صورتمو خشک کرد",0,true,2024-07-07T22:03:16+00:00,خنثی,0.35,حساسیت و واکنش پوست/مو,حساسیت و واکنش پوست/مو,,false,ندارد,false,
کرم ضد آفتاب و ضد لک بی رنگ مدل SPF50 مناسب پوست چرب و آکنه دار حجم 40 میلی لیتر,https://www.khanoumi.com/products/lafarrerr-anti-spot-spf50-sunscreen-cream-for-oily-and-acne-prone-skin-25318,ضدآفتاب,چربه و موجب براق شدن پوست میشه کاملا بی فایده ,0,true,2024-07-06T13:24:06+00:00,خنثی,0.35,اثربخشی,اثربخشی,,false,ندارد,false,
کرم ضد آفتاب و ضد لک بی رنگ مدل SPF50 مناسب پوست چرب و آکنه دار حجم 40 میلی لیتر,https://www.khanoumi.com/products/lafarrerr-anti-spot-spf50-sunscreen-cream-for-oily-and-acne-prone-skin-25318,ضدآفتاب,خیلی کرم خوبیه برای خودم و مادرم گرفتم ب موقع ارسال شد تاریخش هم اوکی بود ممنون خانومی,0,true,2024-07-04T09:49:37+00:00,مثبت,0.67,ارسال کالا | تجربه محصول | رضایت کلی,ارسال کالا,,false,ندارد,false,
کرم ضد آفتاب و ضد لک بی رنگ مدل SPF50 مناسب پوست چرب و آکنه دار حجم 40 میلی لیتر,https://www.khanoumi.com/products/lafarrerr-anti-spot-spf50-sunscreen-cream-for-oily-and-acne-prone-skin-25318,ضدآفتاب,"روی پوست من به شدت سبک و زود جذب هست
اصلا رد نمیذاره",0,true,2024-07-03T13:43:20+00:00,خنثی,0.35,تجربه محصول,تجربه محصول,,false,ندارد,false,
کرم ضد آفتاب و ضد لک بی رنگ مدل SPF50 مناسب پوست چرب و آکنه دار حجم 40 میلی لیتر,https://www.khanoumi.com/products/lafarrerr-anti-spot-spf50-sunscreen-cream-for-oily-and-acne-prone-skin-25318,ضدآفتاب,من اصلا راضی نبودم ازش چون خیلی روی پوست حالت سفیدی بدی داره و خیلی پوست باهاش برق میزنه ,0,true,2024-07-02T17:23:49+00:00,منفی,0.67,تجربه محصول,تجربه محصول,,false,ندارد,false,
کرم ضد آفتاب و ضد لک بی رنگ مدل SPF50 مناسب پوست چرب و آکنه دار حجم 40 میلی لیتر,https://www.khanoumi.com/products/lafarrerr-anti-spot-spf50-sunscreen-cream-for-oily-and-acne-prone-skin-25318,ضدآفتاب,عالیییی هم زود جذب میشه هم بوی خوبی داره خیلی خوبه باکیفیت بالا.,0,true,2024-06-29T16:42:37+00:00,مثبت,0.91,رضایت کلی | کیفیت محصول | بو و رایحه,کیفیت محصول,,false,ندارد,false,
کرم ضد آفتاب و ضد لک بی رنگ مدل SPF50 مناسب پوست چرب و آکنه دار حجم 40 میلی لیتر,https://www.khanoumi.com/products/lafarrerr-anti-spot-spf50-sunscreen-cream-for-oily-and-acne-prone-skin-25318,ضدآفتاب,غلیظه و قدرت جذب بالایی داره تا میزنی سریع جذب میشه انگار نه انگار چیزی زدی من راضی بودم کاش اس پی افش بیشتر بود,0,true,2024-06-29T12:28:21+00:00,مثبت,0.67,ترکیبات,ترکیبات,,false,ندارد,false,
کرم ضد آفتاب و ضد لک بی رنگ مدل SPF50 مناسب پوست چرب و آکنه دار حجم 40 میلی لیتر,https://www.khanoumi.com/products/lafarrerr-anti-spot-spf50-sunscreen-cream-for-oily-and-acne-prone-skin-25318,ضدآفتاب,برای من جوش آورد و پوستمو چرب کرد,0,true,2024-06-25T22:17:09+00:00,خنثی,0.35,حساسیت و واکنش پوست/مو,حساسیت و واکنش پوست/مو,,false,ندارد,false,
