نام محصول,لینک محصول,دسته محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی,مشکلات,مشکل‌دار,شدت مشکل,قصد ترک,نشانه‌های ترک
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,"بعد از حدود 3 ماه نظر میدم 
چربی پوستم رو کنترل نکرد و احساس سنگینی به پوستم میده و حالت چسبندگی میده 
زیاد خوشم نیومد 
حجمش هم خیلی کم بود من استفاده درست داشتم ازش ولی داخل خود تیوپ کم بود ",1,true,2023-10-06T19:45:02+00:00,خنثی,0.35,تجربه محصول,تجربه محصول,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,پوستم جوش زد باهاش الان دیگه استفاده نمیکنم😑,2,true,2023-08-13T14:16:51+00:00,خنثی,0.35,حساسیت و واکنش پوست/مو,حساسیت و واکنش پوست/مو,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,عالیه👌👌👌👌👌,2,true,2023-07-07T12:51:26+00:00,مثبت,0.79,رضایت کلی,رضایت کلی,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,"من برای بار سوم سفارش میدم 
تقریبا یک ساله مصرف میکنم 
عالیه عالی 
",3,true,2023-06-16T18:34:15+00:00,مثبت,0.91,رضایت کلی,رضایت کلی,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,از لحاظ آبرسانی ونرم کنندگیش خوبه ولی من احساس میکنم باعث جوش میشه چون من پوستم خیلی چربه,1,true,2023-06-14T14:58:42+00:00,مثبت,0.67,حساسیت و واکنش پوست/مو,حساسیت و واکنش پوست/مو,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,"خییلی کرم خوبیه به همه پیشنهاد میدم این نظرم هم برای وقتیه که کرمم داره تموم میشه والان دوباره دارم سفارش میدم برای منی که پوست چرب وبسیار مستعدجوشی دارم اصلااباعث جوش نشد خیلی زودجذبه وحس شادابیه خاصی به صورت میده برای زیر کرم پودرهم عالیه
",3,true,2023-06-14T12:30:37+00:00,مثبت,0.79,رضایت کلی | حساسیت و واکنش پوست/مو,حساسیت و واکنش پوست/مو,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,بسیار کرم خوبیه برای دومین بار حتما تمدید میکنم👌,3,true,2023-05-26T13:48:41+00:00,خنثی,0.35,رضایت کلی,رضایت کلی,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,برای من اصلا باعث جوش نشد من پوستم مختلط هست. اگر قبلش آب رسان زده بشه اثرش عالی تر هم میشه,4,true,2023-05-16T12:38:45+00:00,مثبت,0.67,حساسیت و واکنش پوست/مو | رضایت کلی,حساسیت و واکنش پوست/مو,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,عالی سبک ابرسانیش عالیه زود جذب میشه احساس چربی نمیده بوی ملایم و عالی ای داره قبل از ارایش بزنید پنکک و کرم قشنگ میخوابه روس پوستتون,5,true,2023-05-15T14:43:51+00:00,مثبت,0.95,رضایت کلی | بو و رایحه,بو و رایحه,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,محصول خوبیه پوستم چربه باعث جوش نشد برام اما احساس میکنم محصولات خانومی همون وزنی که میزنه نیس کمتره...به هرحال دفعه بعد چک میکنم چندین بار سفارش دادم اگر بااین قیمت این حجم رو بفروشید اصلااااااا بهصرفه نیس,9,true,2023-04-18T12:11:53+00:00,خنثی,0.35,تجربه محصول | قیمت | حجم و مقدار | حساسیت و واکنش پوست/مو,حساسیت و واکنش پوست/مو,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,بین برندای ایرانی کیفیت خیلی خوبی داره اصلا چرب نیست و خوب جذب پوست میشه اما چون من پوستم خیلی دهیدراته هست باید در طول روز چندین بار استفاده کنم ک زیاد بصرفه نیست برام,12,true,2023-04-13T16:02:05+00:00,خنثی,0.35,کیفیت محصول | رضایت کلی,کیفیت محصول,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,واقعا محصول خوبیه بافت سبک و بر پایه آب داره اصلا احساس چربی روی پوست نمیده و نسبت به برند های دیگه که محصول مشابه این دارن قیمت خوبی داره من از مرطوب کننده های زیادی استفاده کردم ولی این واقعا عالیه و اصلا تو خریدش شک نکنین,4,true,2023-04-12T11:22:45+00:00,مثبت,0.79,تجربه محصول | رضایت کلی | قیمت | بافت محصول,قیمت,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,"خیلی سبک و عالیه چندین ساله که ازش استفاده میکنم
",3,true,2023-04-05T13:39:04+00:00,مثبت,0.79,رضایت کلی | تجربه محصول,تجربه محصول,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,پوست من چرب و مختلطه این کرمو زدنی احساس سنگینی میکنم رو پوستم بعد چند دقیقه جذب میشه ولی اون چسبندگی مختصرو هنوز رو پوست میذاره.باعث جوش نشد,2,true,2023-04-03T14:00:11+00:00,خنثی,0.35,حساسیت و واکنش پوست/مو,حساسیت و واکنش پوست/مو,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,پوست من بعد از استفاده ازاین کرم پوسته پوسته شد و انگار که به پوستم نساخت متاسفانه,1,true,2023-03-27T11:35:05+00:00,منفی,0.67,تجربه محصول,تجربه محصول,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,این کرم فوقالعادست به نسبت قیمتش خیلی عااالیه پوستم چربه اصلا سنگین نیست و پوستمو روشن کرده شاید دهمین کرمیه که ازاین مارک و مدل خریدم,1,true,2023-03-08T03:46:01+00:00,مثبت,0.79,رضایت کلی | تجربه محصول,تجربه محصول,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,من این کرمو بارهاست که شارژ میکنم پوست چربی دارم عالیه برای من,1,true,2023-02-28T17:53:49+00:00,مثبت,0.79,رضایت کلی | موجودی کالا,موجودی کالا,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,عالیه 2بار خریدم .خیلی سبک هست و باعث جوش نمیشه ,2,true,2023-01-02T21:21:30+00:00,مثبت,0.79,رضایت کلی | حساسیت و واکنش پوست/مو | تجربه محصول,حساسیت و واکنش پوست/مو,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,"من بعد از آبرسان میزنم خیلی خوبه جوش نمیزنم پوستمم براق نمیشه دقیقا مناسب پوست چرب و آکنه ای و حساسه
چندمین باره میخرم ازش",11,true,2022-10-19T15:50:03+00:00,منفی,0.79,رضایت کلی | نیاز به مشاوره | حساسیت و واکنش پوست/مو,حساسیت و واکنش پوست/مو,حساسیت و واکنش پوست/مو,true,بالا,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,جالبه همه در مورد بو نوشتن ولی هیچ نوع بویی نداره به عنوان کسی که پوست چرب داره میگم که فقط خوبه همین!,2,true,2022-07-31T21:47:19+00:00,مثبت,0.67,بو و رایحه,بو و رایحه,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,وقتی می زنم پوست منو چرب می کنه! بر اساس نظرات نوشته شده اینجا خریدم همه نوشتن عالیه و چرب نیست اما چربه به نظر من!,5,true,2022-06-22T15:39:35+00:00,منفی,0.79,رضایت کلی | تجربه محصول,تجربه محصول,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,مرطوب کنندگیش از آبرسانیش بيشتره،  بوی خیلی خوبیم داره.,10,true,2022-02-27T11:04:50+00:00,مثبت,0.67,بو و رایحه | رضایت کلی,بو و رایحه,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,خیلی کرم خوبیه. خیلی سبکه و زود جذب میشه. بوی خیلی خوبی داره. من پوست چرب و مستعد جوش دارم، این کرم اصلا باعث جوش نمیشه و کاملا با پوست چرب سازگاره. تابحال چندین بار شارژش کردم.,6,true,2022-02-17T13:18:39+00:00,مثبت,0.67,حساسیت و واکنش پوست/مو | بو و رایحه | رضایت کلی,حساسیت و واکنش پوست/مو,,false,ندارد,false,
کرم مرطوب کننده مدل Oily مناسب پوست چرب حجم 50 میلی لیتر,https://www.khanoumi.com/products/medilann-oily-skin-moisturizing-21221,کرم و مرطوب‌کننده صورت,اولین بار دکتر برام تجویز کرد، بعد بارها خریدم و استفاده کردم پوست من مختلطه خیلی دوسش دارم ، بافتش سبکه و زود جذب میشه بوی خیلی ملایمی داره که اصلا اذیت نمیکنه، حس نرمی میده و کار مرطوب کنندگیشو خوب انجام میده ,22,true,2022-02-09T15:09:01+00:00,مثبت,0.67,تجربه محصول | بافت محصول | بو و رایحه,بافت محصول,,false,ندارد,false,
