نام محصول,لینک محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی
ضد آفتاب بدون رنگ اس پی اف 50 مناسب پوست های خشک تا نرمال 50میل,https://www.khanoumi.com/products/schon-sunscreen-16638,چرب و براقه یکم، در کل با تخفیف خوبه تخفیف رو مجددا بذارید ، با تخفیف تا مبلغ 80 تومان که گذاشته بودید لطفا مجددا بذارید که سبد خرید رو تکمیل کنم,0,true,2025-02-19T10:27:54.984051+00:00,ترکیبی,0.74,قیمت | محصول,قیمت
ضد آفتاب بدون رنگ اس پی اف 50 مناسب پوست های خشک تا نرمال 50میل,https://www.khanoumi.com/products/schon-sunscreen-16638,خیلی چرب و براق مبکنه,0,true,2024-10-22T09:06:01.3597044+00:00,خنثی,0.35,سایر,سایر
ضد آفتاب بدون رنگ اس پی اف 50 مناسب پوست های خشک تا نرمال 50میل,https://www.khanoumi.com/products/schon-sunscreen-16638,برای منی که پوستم مختلطه اصلا چرب نشد صورتم و بعد چند دقیقه کامل جذب صورتم شد عالیه,0,false,2024-07-27T13:52:49+00:00,مثبت,0.67,محصول | اصل بودن کالا,محصول
ضد آفتاب بدون رنگ اس پی اف 50 مناسب پوست های خشک تا نرمال 50میل,https://www.khanoumi.com/products/schon-sunscreen-16638,خیلی چربی و باعث جوش زدن میشه رد سفیدیش هم روی پوست میمونه,0,true,2024-06-05T11:48:29+00:00,خنثی,0.35,محصول,محصول
ضد آفتاب بدون رنگ اس پی اف 50 مناسب پوست های خشک تا نرمال 50میل,https://www.khanoumi.com/products/schon-sunscreen-16638,باتوجه به قیمتش کارایی خوبی داره، ولی دیر جذب میشه، چربه و تعریق داشته باشی رد سفیدی میذاره. چشم رو میسوزه اگر تعریق کنید یا صورتتونو بشورید. خیلی نزدیک چشم هانزنید. ولی بوی خوبی داره، مرطوب کنندگی داره و نمیذاره پوست خشک بشه و همچنین قیمتشم و حجمش مناسبه.,1,false,2022-11-27T05:56:20+00:00,مثبت,0.79,محصول | قیمت,محصول
ضد آفتاب بدون رنگ اس پی اف 50 مناسب پوست های خشک تا نرمال 50میل,https://www.khanoumi.com/products/schon-sunscreen-16638,من ازش خوشم نیومد چون موقعی که صورت عرق می‌کرد یا یه ذره آب به صورت میخورد یه رد سفیدی باقی میزاشت ولی بافتش خوب و پخش کردنش آسون بود ,6,false,2021-11-15T19:16:23+00:00,مثبت,0.67,محصول,محصول
ضد آفتاب بدون رنگ اس پی اف 50 مناسب پوست های خشک تا نرمال 50میل,https://www.khanoumi.com/products/schon-sunscreen-16638,خیلی عالیه من یه ساله دارم استفاده میکنم واقعاازش راضیم,5,false,2021-07-20T14:50:31+00:00,مثبت,0.95,سایر,سایر
ضد آفتاب بدون رنگ اس پی اف 50 مناسب پوست های خشک تا نرمال 50میل,https://www.khanoumi.com/products/schon-sunscreen-16638," بشدت سنگین روی پوست و مثل گچ میمونه.
",14,false,2020-09-06T21:08:48+00:00,خنثی,0.35,محصول,محصول
ضد آفتاب بدون رنگ اس پی اف 50 مناسب پوست های خشک تا نرمال 50میل,https://www.khanoumi.com/products/schon-sunscreen-16638, چرپ و سنگین وسفید هست روی صورت.اصلا نمیشه مقداردکافی زد.اصلا توصیه نمیکنم.,11,false,2020-07-16T15:12:06+00:00,منفی,0.91,اصل بودن کالا,اصل بودن کالا
ضد آفتاب بدون رنگ اس پی اف 50 مناسب پوست های خشک تا نرمال 50میل,https://www.khanoumi.com/products/schon-sunscreen-16638,من برای دستم استفاده میکنم و واقعا عالیه و راضی ام چون دستام به نور آفتاب حساسیت داره و شدیدا به خارش میفته در حدی که ازش خون میاد ولی این ضدآفتاب خیلی خوب بود نسبت به همه محصولاتی که تا حالا استفاده کردم.,9,true,2020-06-22T11:37:33+00:00,مثبت,0.95,محصول,محصول
